gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000117000,406.71694990237074,1.1232646710892933,0.48377647048758854,0.007590699515183483,0.04643795204216193,RLF,RLF,Up,TRUE,TRUE,2.11971820018018,1.3331269413107252
ENSG00000116544,47.036445247929855,-1.9166458053344846,1.088568474525424,0.00759904544300089,0.04645825987260185,DLGAP3,DLGAP3,Down,TRUE,TRUE,2.119240958360494,1.3329370610420213
ENSG00000198483,21.27705605016647,-1.6909221889814292,0.868693120655527,0.007608528074643002,0.046500774773241875,ANKRD35,ANKRD35,Down,TRUE,TRUE,2.1186993525448057,1.332539811046809
ENSG00000178802,286.80539830041744,1.0125733841217686,0.42479205375445,0.007614418057203626,0.04652131165181883,MPI,MPI,Up,TRUE,TRUE,2.118363282636908,1.332348048992674
ENSG00000130675,75.12246094375394,-1.8697446683341945,1.0449683286728202,0.007620745791120741,0.04654450850173046,MNX1,MNX1,Down,TRUE,TRUE,2.1180025251014416,1.3321315513761234
ENSG00000170579,109.53398144212335,-1.7418242570594056,0.9234221833964847,0.007630568990313418,0.046589031783487306,DLGAP1,DLGAP1,Down,TRUE,TRUE,2.117443076705668,1.3317163149962534
ENSG00000184305,258.0020298471681,-1.4077286126790398,0.663275926337655,0.007643422191663521,0.046652019284663844,CCSER1,CCSER1,Down,TRUE,TRUE,2.116712151085473,1.3311295535207528
ENSG00000101251,14.42445277371417,-2.257127181438853,1.481187765701659,0.007649052724183932,0.04667089568604595,SEL1L2,SEL1L2,Down,TRUE,TRUE,2.116392345517343,1.3309538642578786
ENSG00000168453,138.9393430197909,-2.0818758986148116,1.3085570620917595,0.007655327675167487,0.0466730049610391,HR,HR,Down,TRUE,TRUE,2.1160362152241894,1.330934236912457
ENSG00000218819,26.40676406636427,-2.006433695776327,1.1887353715129025,0.007657012287517942,0.0466730049610391,TDRD15,TDRD15,Down,TRUE,TRUE,2.115940655975546,1.330934236912457
ENSG00000137462,230.14886824700477,1.2595804657419492,0.5630805748466812,0.007653084234896042,0.0466730049610391,TLR2,TLR2,Up,TRUE,TRUE,2.1161635065125433,1.330934236912457
ENSG00000223417,17.11830835663424,-2.5703468026161036,2.5070473983942847,0.007666784028249038,0.04669905508927623,TRIM49D1,TRIM49D1,Down,TRUE,TRUE,2.115386770558918,1.3306919068785328
ENSG00000095981,19.616337034331988,-2.5104286941006784,2.2619166096377437,0.007667215422281351,0.04669905508927623,KCNK16,KCNK16,Down,TRUE,TRUE,2.115362334396857,1.3306919068785328
ENSG00000088543,61.948124621739794,-1.2376087977579682,0.5527388299346991,0.007668904098402078,0.04669905508927623,C3orf18,C3orf18,Down,TRUE,TRUE,2.1152666931594597,1.3306919068785328
ENSG00000170419,66.44575436334311,-2.263593990899725,1.6281536974600999,0.007677839793671792,0.0467379919912692,VSTM2A,VSTM2A,Down,TRUE,TRUE,2.1147609541423176,1.3303299501775208
ENSG00000268657,27.828173771917164,-2.3047493199758873,1.6521426936947576,0.007685368589751525,0.046747187956234074,ENSG00000268657,ENSG00000268657,Down,TRUE,TRUE,2.1143352989311217,1.3302445086806942
ENSG00000163220,31.105580736366377,1.6008240408757322,0.7967795968797925,0.0076868699724662055,0.046747187956234074,S100A9,S100A9,Up,TRUE,TRUE,2.1142504651929976,1.3302445086806942
ENSG00000127954,114.76145173761489,1.5983245893969882,0.7972323843237882,0.007686976420861981,0.046747187956234074,STEAP4,STEAP4,Up,TRUE,TRUE,2.114244451089603,1.3302445086806942
ENSG00000125820,27.769444038485208,-2.3744196549642695,1.8280560727395254,0.0077049786823539645,0.04680267922150536,NKX2-2,NKX2-2,Down,TRUE,TRUE,2.1132285585223105,1.329729285006846
ENSG00000187123,58.32514129945793,-1.8517657006441295,1.027896491870548,0.00771213403503346,0.04680267922150536,LYPD6,LYPD6,Down,TRUE,TRUE,2.1128254311060597,1.329729285006846
ENSG00000139874,85.37098178085446,-1.7260162508374868,0.9119263698107304,0.007707273884227783,0.04680267922150536,SSTR1,SSTR1,Down,TRUE,TRUE,2.113099207733162,1.329729285006846
